_id,co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
315,2700102,Água Branca,2021,Frota,veículos,1.1.14. Reboque,26
316,2700102,Água Branca,2021,Frota,veículos,1.1.15. Semi-reboque,10
317,2700102,Água Branca,2021,Frota,veículos,1.1.16. Sidecar,0
318,2700102,Água Branca,2021,Frota,veículos,1.1.17. Trator de esteira,0
319,2700102,Água Branca,2021,Frota,veículos,1.1.18. Trator de rodas,0
320,2700102,Água Branca,2021,Frota,veículos,1.1.19. Triciclo,0
321,2700102,Água Branca,2021,Frota,veículos,1.1.2. Bonde,0
322,2700102,Água Branca,2021,Frota,veículos,1.1.20. Utilitário,6
323,2700102,Água Branca,2021,Frota,veículos,1.1.21. Outros,0
324,2700102,Água Branca,2021,Frota,veículos,1.1.3. Caminhão,125
325,2700102,Água Branca,2021,Frota,veículos,1.1.4. Caminhão trator,6
326,2700102,Água Branca,2021,Frota,veículos,1.1.5. Caminhonete,581
327,2700102,Água Branca,2021,Frota,veículos,1.1.6. Camioneta,45
328,2700102,Água Branca,2021,Frota,veículos,1.1.7. Chassi plataforma,0
329,2700102,Água Branca,2021,Frota,veículos,1.1.8. Ciclomotor,17
330,2700102,Água Branca,2021,Frota,veículos,1.1.9. Micro-ônibus,95
331,2700102,Água Branca,2022,Frota,veículos,1. Veículo,5184
332,2700102,Água Branca,2022,Frota,veículos,1.1.1. Automóvel,1247
333,2700102,Água Branca,2022,Frota,veículos,1.1.10. Motocicleta,2765
334,2700102,Água Branca,2022,Frota,veículos,1.1.11. Motoneta,163
335,2700102,Água Branca,2022,Frota,veículos,1.1.12. Ônibus,31
336,2700102,Água Branca,2022,Frota,veículos,1.1.13. Quadriciclo,0
337,2700102,Água Branca,2022,Frota,veículos,1.1.14. Reboque,32
338,2700102,Água Branca,2022,Frota,veículos,1.1.15. Semi-reboque,14
339,2700102,Água Branca,2022,Frota,veículos,1.1.16. Sidecar,0
340,2700102,Água Branca,2022,Frota,veículos,1.1.17. Trator de esteira,0
341,2700102,Água Branca,2022,Frota,veículos,1.1.18. Trator de rodas,0
342,2700102,Água Branca,2022,Frota,veículos,1.1.19. Triciclo,0
343,2700102,Água Branca,2022,Frota,veículos,1.1.2. Bonde,0
344,2700102,Água Branca,2022,Frota,veículos,1.1.20. Utilitário,9
345,2700102,Água Branca,2022,Frota,veículos,1.1.21. Outros,7
346,2700102,Água Branca,2022,Frota,veículos,1.1.3. Caminhão,160
347,2700102,Água Branca,2022,Frota,veículos,1.1.4. Caminhão trator,6
348,2700102,Água Branca,2022,Frota,veículos,1.1.5. Caminhonete,591
349,2700102,Água Branca,2022,Frota,veículos,1.1.6. Camioneta,44
350,2700102,Água Branca,2022,Frota,veículos,1.1.7. Chassi plataforma,0
351,2700102,Água Branca,2022,Frota,veículos,1.1.8. Ciclomotor,17
352,2700102,Água Branca,2022,Frota,veículos,1.1.9. Micro-ônibus,98
353,2700201,Anadia,2006,Frota,veículos,1. Veículo,626
354,2700201,Anadia,2006,Frota,veículos,1.1.1. Automóvel,205
355,2700201,Anadia,2006,Frota,veículos,1.1.10. Motocicleta,231
356,2700201,Anadia,2006,Frota,veículos,1.1.11. Motoneta,34
357,2700201,Anadia,2006,Frota,veículos,1.1.12. Ônibus,8
358,2700201,Anadia,2006,Frota,veículos,1.1.13. Quadriciclo,0
359,2700201,Anadia,2006,Frota,veículos,1.1.14. Reboque,4
360,2700201,Anadia,2006,Frota,veículos,1.1.15. Semi-reboque,0
361,2700201,Anadia,2006,Frota,veículos,1.1.16. Sidecar,0
362,2700201,Anadia,2006,Frota,veículos,1.1.17. Trator de esteira,0
363,2700201,Anadia,2006,Frota,veículos,1.1.18. Trator de rodas,0
364,2700201,Anadia,2006,Frota,veículos,1.1.19. Triciclo,0
365,2700201,Anadia,2006,Frota,veículos,1.1.2. Bonde,0
366,2700201,Anadia,2006,Frota,veículos,1.1.20. Utilitário,0
367,2700201,Anadia,2006,Frota,veículos,1.1.21. Outros,0
