_id,co_mun,no_mun,ano,variavel,produto_tipo,produto_variavel,valor
242,2700201,Anadia,2017.0,Aquicultura,Tilápia (Quilogramas),Produção da aquicultura,...
243,2700201,Anadia,2017.0,Aquicultura,Total,Produção da aquicultura,..
244,2700201,Anadia,2017.0,Aquicultura,Total,Valor da produção (Mil Reais),...
245,2700201,Anadia,2017.0,Aquicultura,Traíra e trairão,Valor da produção (Mil Reais),...
246,2700201,Anadia,2017.0,Aquicultura,Traíra e trairão (Quilogramas),Produção da aquicultura,...
247,2700201,Anadia,2017.0,Aquicultura,Truta,Valor da produção (Mil Reais),...
248,2700201,Anadia,2017.0,Aquicultura,Truta (Quilogramas),Produção da aquicultura,...
249,2700201,Anadia,2017.0,Aquicultura,Tucunaré,Valor da produção (Mil Reais),...
250,2700201,Anadia,2017.0,Aquicultura,Tucunaré (Quilogramas),Produção da aquicultura,...
251,2700201,Anadia,2018.0,Aquicultura,Alevinos,Valor da produção (Mil Reais),0
252,2700201,Anadia,2018.0,Aquicultura,Alevinos (Milheiros),Produção da aquicultura,0
253,2700201,Anadia,2018.0,Aquicultura,Camarão,Valor da produção (Mil Reais),0
254,2700201,Anadia,2018.0,Aquicultura,Camarão (Quilogramas),Produção da aquicultura,0
255,2700201,Anadia,2018.0,Aquicultura,Carpa,Valor da produção (Mil Reais),0
256,2700201,Anadia,2018.0,Aquicultura,Carpa (Quilogramas),Produção da aquicultura,0
257,2700201,Anadia,2018.0,Aquicultura,"Curimatã, curimbatá",Valor da produção (Mil Reais),0
258,2700201,Anadia,2018.0,Aquicultura,"Curimatã, curimbatá (Quilogramas)",Produção da aquicultura,0
259,2700201,Anadia,2018.0,Aquicultura,Dourado,Valor da produção (Mil Reais),0
260,2700201,Anadia,2018.0,Aquicultura,Dourado (Quilogramas),Produção da aquicultura,0
261,2700201,Anadia,2018.0,Aquicultura,"Jatuarana, piabanha e piracanjuba",Valor da produção (Mil Reais),0
262,2700201,Anadia,2018.0,Aquicultura,"Jatuarana, piabanha e piracanjuba (Quilogramas)",Produção da aquicultura,0
263,2700201,Anadia,2018.0,Aquicultura,Lambari,Valor da produção (Mil Reais),0
264,2700201,Anadia,2018.0,Aquicultura,Lambari (Quilogramas),Produção da aquicultura,0
265,2700201,Anadia,2018.0,Aquicultura,Larvas e pós-larvas de camarão,Valor da produção (Mil Reais),0
266,2700201,Anadia,2018.0,Aquicultura,Larvas e pós-larvas de camarão (Milheiros),Produção da aquicultura,0
267,2700201,Anadia,2018.0,Aquicultura,Matrinxã,Valor da produção (Mil Reais),0
268,2700201,Anadia,2018.0,Aquicultura,Matrinxã (Quilogramas),Produção da aquicultura,0
269,2700201,Anadia,2018.0,Aquicultura,"Ostras, vieiras e mexilhões",Valor da produção (Mil Reais),0
270,2700201,Anadia,2018.0,Aquicultura,"Ostras, vieiras e mexilhões (Quilogramas)",Produção da aquicultura,0
271,2700201,Anadia,2018.0,Aquicultura,Outros peixes,Valor da produção (Mil Reais),0
